A_bl,b3,PBR_eff,L0,L_ol0
7.241472688750162368e-01,-1.209711049571836859e-02,1.318326123719245180e+00,1.931048916851717090e+00,9.513886588279308398e+01
9.577083433521280664e-01,-1.602668054627018682e-02,1.951301894600946607e+00,1.941945701440789263e+00,8.660012292821483991e-11
5.159898832082567832e-01,-8.991405376981854644e-03,1.185799128072552833e+00,1.854866137845413210e+00,7.746097710344615450e+01
8.258708907264314947e-01,-1.398867228297152702e-02,3.864068612228127031e-01,1.917360782448081613e+00,1.924660407091446359e+02
8.576272031720812983e-01,-1.483912392350155568e-02,2.101856565592610693e+00,1.943073376640132244e+00,7.217375337339797525e+00
6.167332679245830507e-01,-1.063207672312641537e-02,1.035639407723297989e+00,1.900420399252006565e+00,1.509833805163907812e+02
6.377010987676158260e-01,-1.053505151721435308e-02,1.403491395548454923e+00,1.918470266913843147e+00,1.350713191073588746e+02
9.355315513280245687e-01,-1.517713689812754708e-02,3.496714978441279875e+00,1.938514167728500270e+00,1.228575958072390645e-14
1.024376812486640143e+00,-1.608732382564326963e-02,2.319705681262317576e+00,1.949554836650713385e+00,1.796677741489995143e-06
6.108886080494141391e-01,-1.019273725523365051e-02,1.090446942704535616e-15,1.876665742653303326e+00,1.683642398272725131e+02
6.118710867159470324e-01,-9.621642193443916830e-03,1.087892960314497115e+00,1.936988102764878539e+00,1.071640950921762965e+02
9.681423679390795956e-01,-1.528871024795265543e-02,2.158842521154579863e+00,1.960067672655067650e+00,2.505688440113625911e-10
7.746776515686819575e-01,-1.225067195072777719e-02,2.261381442788843454e+00,1.975709594232289756e+00,6.148796458074724358e-09
8.236176591997524943e-01,-1.373247911863201103e-02,4.397487709528780653e-01,1.889331053917367997e+00,1.113632404595735750e+02
6.152122768894869864e-01,-1.018800305958479473e-02,1.744644877891987855e+00,1.879942687798311640e+00,1.241449223788645781e+02
7.762857549720324490e-01,-1.343457872772808176e-02,2.792896009417253467e+00,1.884654546976839429e+00,2.927039270626848322e-01
7.332045578331078950e-01,-1.338876861167918007e-02,2.816797147839929849e+00,1.948999119578007644e+00,1.908324121011608108e-07
6.459150340436664584e-01,-1.067561899375073578e-02,2.240935244245827462e+00,1.951222245556868184e+00,4.471071161178734179e-09
5.401113499013885377e-01,-9.206483866778398736e-03,1.138624701599944000e+00,1.842680337477822450e+00,1.246644962153570901e+02
7.490729360958251482e-01,-1.209584194092771896e-02,1.768402105442570260e+00,1.955426968256270159e+00,1.298231402914747434e+02
8.662000194498248318e-01,-1.442432938947445405e-02,1.439834177801920800e+00,1.923149755644153247e+00,2.789934737882366633e+01
6.025270110487894737e-01,-1.054979604567697973e-02,1.985938594286147607e+00,1.877465117063449762e+00,1.037393488159383104e+01
8.341377530246141259e-01,-1.402548379851683256e-02,1.688653228128654593e+00,1.907085347141265208e+00,1.580825719171323840e+02
5.578746701770543881e-01,-9.120631100268585673e-03,1.101093827583466744e+00,1.816213303404060397e+00,1.492740267867745558e+02
7.739155525515009071e-01,-1.437355686744839350e-02,2.369902418531301791e+00,1.947803586018609368e+00,2.640813446674023268e+01
7.092472407406391621e-01,-1.267551334380527528e-02,3.184429164320465130e-19,1.918045168695734937e+00,1.487181657298134496e+02
7.732570484020087065e-01,-1.390757917709848496e-02,2.048124105689274277e+00,1.938779861589154940e+00,4.777823203224853673e-08
6.399286745093020201e-01,-1.007501015522697073e-02,2.073943662862460649e-11,1.913171865145462780e+00,1.645326653021871550e+02
9.705923293111033967e-01,-1.510278486879089790e-02,1.619491581592812590e+00,1.939010216243550522e+00,1.006011658359029468e+02
8.177521287926627913e-01,-1.475032822197038136e-02,6.099306358557713742e-15,1.945604056342012944e+00,1.662873350748124608e+02
6.487509995827893672e-01,-1.086162029109967626e-02,1.667035665253162824e+00,1.944963380574054046e+00,7.117902731464390342e+01
7.324941171020571407e-01,-1.232666335418702679e-02,6.367549132936164833e-12,1.883895456690443559e+00,1.027792019605531237e+02
8.635670025341005696e-01,-1.464228210392488384e-02,2.867000701239884327e-10,1.951449734570855687e+00,1.945389512193930557e+02
7.057402953920368649e-01,-1.248505752672595184e-02,2.150871532651288831e+00,1.908259155493619019e+00,3.066810031052187294e-10
7.786001428105427946e-01,-1.319660691193238686e-02,2.574268957110285694e+00,1.978713842179159244e+00,3.913496610487784121e-07
8.652269074580433150e-01,-1.485588348832614196e-02,1.301337278039899958e+00,1.893169832478020842e+00,1.204005173975235721e+02
