run,quantity,value,verdict
forward MLP,rel Linf L_bl vs closed form,1.37e-03,PASS
forward MLP,rel Linf L_ol vs closed form,1.20e-03,PASS
forward KAN,rel Linf L_bl vs closed form,1.09e-03,PASS
forward KAN,rel Linf L_ol vs closed form,3.95e-04,PASS
inverse hard (real data),A_bl vs deterministic M4,0.73087 (dev 0.55%),PASS
inverse hard (real data),b3 vs deterministic M4,-0.012551 (dev 0.51%),PASS
inverse hard (real data),PBR_eff vs deterministic M4,1.0962 (dev 0.00%),PASS
inverse hard (real data),L0 vs deterministic M4,1.9235 (dev 0.01%),PASS
inverse hard (real data),L_ol0 vs deterministic M4,115.57 (dev 0.00%),PASS
inverse hard (real data),chi2 (= M4 baseline 5.79),5.79,PASS
"inverse hard (synthetic, 2% noise)",A_bl vs ground truth,0.71681 (dev 1.35%),
"inverse hard (synthetic, 2% noise)",b3 vs ground truth,-0.012061 (dev 3.36%),
"inverse hard (synthetic, 2% noise)",PBR_eff vs ground truth,1.0459 (dev 0.48%),
"inverse hard (synthetic, 2% noise)",L0 vs ground truth,2.1348 (dev 10.96%),
"inverse hard (synthetic, 2% noise)",L_ol0 vs ground truth,118.78 (dev 0.07%),
