ty,mlo,mmid,mhi,pllo,plhi
0.00473142,21.591,26.905,32.846,41.439,29.665
0.00524723,23.55,29.192,35.493,43.624,31.625
0.00581928,25.684,31.678,38.27,45.923,33.715
0.00645369,28.008,34.331,41.181,48.343,35.943
0.00715726,30.546,37.172,44.202,50.891,38.318
0.00793753,33.275,40.261,47.522,53.573,40.849
0.00880286,36.235,43.527,51.018,56.397,43.549
0.00976254,39.478,46.971,54.66,59.37,46.426
0.0108268,42.98,50.627,58.487,62.499,49.494
0.0120072,46.638,54.529,62.458,65.793,52.764
0.0133162,50.587,58.643,66.486,69.26,56.25
0.0147679,54.811,62.997,70.684,72.911,59.967
0.0163778,59.279,67.57,75.155,76.754,63.93
0.0181633,64.039,72.293,79.619,80.799,68.154
0.0201434,69.053,77.234,84.404,85.058,72.657
0.0223394,74.311,82.42,89.466,89.541,77.458
0.0247748,79.853,87.705,94.622,94.26,82.576
0.0274758,85.585,93.227,99.883,99.228,88.032
0.0304711,91.72,98.971,105.32,104.46,93.849
0.033793,98.224,104.91,110.98,109.96,100.05
0.0374771,104.58,111.1,116.83,115.76,106.66
0.0415628,111.22,117.38,122.88,121.86,113.71
0.0460939,117.8,123.78,129.51,128.28,121.22
0.0511189,124.33,130.29,136.31,135.04,129.23
0.0566918,130.78,137.1,143.26,142.16,137.77
0.0628723,136.94,144.09,151,149.66,146.87
0.0697265,143.14,151.07,159.19,157.54,156.58
0.077328,149.53,158.11,168.23,165.85,166.92
0.0857581,155.46,165.23,176.82,174.59,177.95
0.0951074,161.38,172.45,186.39,183.79,189.71
0.105476,167.46,179.75,195.93,193.48,202.25
0.116975,173.73,187.23,205.71,203.67,215.61
0.129727,180.02,194.91,215.51,214.41,229.86
0.14387,186.1,202.52,225.66,225.71,245.05
0.159554,192.44,210.23,235.85,237.61,261.24
0.176948,198.55,218.01,246.24,250.13,278.5
0.196239,204.97,225.74,256.75,263.31,296.9
0.217632,211.43,233.58,267.42,277.19,316.52
0.241358,217.59,241.45,278.27,291.8,337.43
0.267671,223.72,249.52,289.25,307.18,359.73
0.296852,229.86,257.46,300.27,323.37,383.5
0.329214,236.08,265.5,311.15,340.41,408.84
0.365105,242.34,273.6,322.36,358.35,435.85
0.404908,248.72,281.56,333.71,377.24,464.65
0.44905,255.13,289.54,345.12,397.13,495.35
0.498005,261.52,297.6,356.6,418.06,528.08
0.552296,267.93,305.74,368.13,440.09,562.98
0.612507,274.35,313.81,379.71,463.29,600.18
0.679281,280.7,322.05,391.34,487.7,639.83
0.753335,286.88,330.25,403.06,513.41,682.11
0.835462,293.07,338.39,415.02,540.47,727.18
0.926543,299.43,346.53,426.76,568.95,775.23
1.02755,305.94,354.77,438.67,598.94,826.46
1.13957,312.46,362.98,450.61,630.51,881.06
1.26381,318.9,371.18,462.57,663.74,939.28
1.40159,325.27,379.43,474.56,698.72,1001.3
1.55439,331.66,387.76,486.56,735.55,1067.5
1.72384,338.04,396.07,498.59,774.32,1138
1.91177,344.43,404.35,510.64,815.13,1213.2
2.12019,350.82,412.63,522.71,858.09,1293.4
2.35133,357.22,420.91,534.79,903.32,1378.9
2.60767,363.61,429.2,546.88,950.93,1470
2.89195,370.01,437.49,558.98,1001.1,1567.1
3.20723,376.41,445.79,571.1,1053.8,1670.7
3.55688,382.81,454.09,583.16,1109.4,1781
3.94464,389.21,462.38,595.23,1167.8,1898.7
4.37468,395.61,470.64,607.31,1229.4,2024.2
4.8516,402.02,478.92,619.39,1294.2,2157.9
5.38051,408.43,487.22,631.48,1362.4,2300.5
5.96708,414.84,495.49,643.58,1434.2,2452.5
6.6176,421.25,503.77,655.67,1509.8,2614.6
7.33904,427.67,512.1,667.78,1589.4,2787.3
8.13913,434.08,520.43,679.88,1673.1,2971.5
9.02645,440.5,528.76,692.02,1761.3,3167.9
10.0105,446.91,537.1,704.11,1854.1,3377.2
11.1018,453.33,545.44,716.23,1951.9,3600.3
12.3121,459.75,553.82,728.35,2054.7,3838.2
13.6544,466.17,562.2,740.48,2163,4091.8
15.1429,472.59,570.58,752.61,2277,4362.2
16.7938,479.01,578.93,764.74,2397,4650.4
18.6246,485.43,587.24,776.87,2523.4,4957.7
20.6551,491.85,595.63,789,2656.4,5285.3
22.9068,498.27,604.03,801.14,2796.4,5634.5
25.4041,504.69,612.43,813.27,2943.8,6006.8
28.1736,511.11,620.82,825.41,3098.9,6403.7
31.2451,517.53,629.17,837.55,3262.3,6826.9
34.6513,523.88,637.53,849.69,3434.2,7278
38.429,530.2,645.84,861.83,3615.2,7758.8
42.6184,536.52,654.13,873.98,3805.8,8271.5
47.2646,542.84,662.42,886.12,4006.3,8818.1
52.4173,549.17,670.68,898.26,4217.5,9400.7
58.1318,555.49,678.92,910.41,4439.8,10022
